"","station","NH4","NO3","PO4","seston","secchi","LUSI","TOM","moisture_content","gravel","silt_clay"
"39","Agalina",0.72,2.53,0.15,1.28,6.99,2,2.09872694741017,29.8892142600315,43.7555412471324,1.06903260485312
"40","Agalina",0.72,2.53,0.15,1.28,6.99,2,2.24017944399708,30.1245752238699,42.2072430606192,1.5591962542177
"41","Agalina",0.72,2.53,0.15,1.28,6.99,2,2.24017944399708,30.1245752238699,42.2072430606192,1.5591962542177
"42","Agalina",0.72,2.53,0.15,1.28,6.99,2,2.24017944399708,30.1245752238699,42.2072430606192,1.5591962542177
"43","Agalina",0.72,2.53,0.15,1.28,6.99,2,1.95727445082325,29.6538532961931,40.658944874106,2.04935990358229
"44","Agalina",0.72,2.53,0.15,1.28,6.99,2,1.95727445082325,29.6538532961931,40.658944874106,2.04935990358229
"45","Agalina",0.72,2.53,0.15,1.28,6.99,2,1.95727445082325,29.6538532961931,40.658944874106,2.04935990358229
"46","Paraskeva",0.65,2.17,0.12,1.19,7.35,0.75,2.09909380903082,31.1076035473641,0.768422657534498,1.43541390073802
"47","Paraskeva",0.65,2.17,0.12,1.19,7.35,0.75,2.09909380903082,31.1076035473641,0.768422657534498,1.43541390073802
"48","Paraskeva",0.65,2.17,0.12,1.19,7.35,0.75,2.09909380903082,31.1076035473641,0.768422657534498,1.43541390073802
"49","Paraskeva",0.65,2.17,0.12,1.19,7.35,0.75,1.6750460588804,27.1170625634781,0.871274091679211,1.17585221799397
"50","Paraskeva",0.65,2.17,0.12,1.19,7.35,0.75,1.6750460588804,27.1170625634781,0.871274091679211,1.17585221799397
"51","Paraskeva",0.65,2.17,0.12,1.19,7.35,0.75,1.6750460588804,27.1170625634781,0.871274091679211,1.17585221799397
"52","Paraskeva",0.65,2.17,0.12,1.19,7.35,0.75,2.52314155918125,35.09814453125,0.280228932605713,0.700532930465495
"53","Paraskeva",0.65,2.17,0.12,1.19,7.35,0.75,2.52314155918125,35.09814453125,0.280228932605713,0.700532930465495
"54","Paraskeva",0.65,2.17,0.12,1.19,7.35,0.75,2.52314155918125,35.09814453125,0.280228932605713,0.700532930465495
